Time;Q_level_1;.Q_level_2;Q_level_3;Voltage_diff_1;Voltage_diff_2;Voltage_diff_3; Meter1.VLn_RMS; Meter2.VLn_RMS; Meter3.VLn_RMS
0.035;141121.42;86738.164;-162618.02;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0355;141100.39;86543.98;-162283.33;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.036;141105.84;86348.42;-162116.61;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0365;141104.72;85998.61;-161951.48;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.037;141076.55;85756.26;-161890.78;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0375;140961.22;85428.26;-161848.23;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.038;140824.1;85257.61;-161832.02;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0385;140521.16;85101.83;-161794.27;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.039;140276.55;85071.62;-161746.83;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0395;139870.9;85130.19;-161626.47;0;-187.69096;-311.83914;501.3335;513.00916;518.96826
0.04;139600.02;85223.94;-161506.97;0;-187.69096;-311.83914;501.3335;513.00916;518.96826
0.0405;139239.48;85406.695;-161265.92;0;-187.69096;-311.83914;501.3335;513.00916;518.96826
0.041;139048.73;85528.32;-161069;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0415;138884.47;85662.69;-160740.14;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.042;138865.64;85697.02;-160516.7;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0425;138965.36;85641.055;-160208.86;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.043;139102.84;85528.49;-160038.92;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0435;139376.47;85258.09;-159857.64;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.044;139576.78;85025.305;-159792.17;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0445;139855.28;84634.73;-159777.8;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.045;140002.14;84373.336;-159818.27;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0455;140121.03;84028.66;-159933.19;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.046;140118.81;83857.31;-160028.11;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0465;139973.33;83723.48;-160161.92;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.047;139783.16;83727.61;-160224.22;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0475;139366.58;83873.336;-160246.77;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.048;139037.12;84052.31;-160201.9;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0485;138526.14;84453.56;-160076.14;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.049;138191.33;84784.23;-159941.52;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.0495;137732.36;85225.45;-159629.23;0;-187.69096;-311.83914;489.5878;513.00916;518.96826
0.05;137501.03;85488.04;-159408.86;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0505;137289.81;85775.06;-159085.66;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.051;137238.83;85866.41;-158885.31;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0515;137275.27;85829.875;-158616.84;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.052;137345.77;85697.375;-158462.4;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0525;137458.95;85382.06;-158273.47;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.053;137513.97;85129.54;-158184.45;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0535;137529.48;84747.38;-158107.4;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.054;137481.89;84518.414;-158084.94;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0545;137318.42;84246.836;-158071.95;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.055;137153.45;84125.8;-158063.2;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0555;136835.33;84047.66;-158028.12;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.056;136586.64;84066.414;-157978.25;0;-187.69096;-100.408066;489.5878;513.00916;508.81958
0.0565;136176.17;84186.37;-157846.86;0;-14.92278;-100.408066;489.5878;504.7163;508.81958
0.057;135920.89;84307.36;-157715.11;0;-14.92278;-100.408066;489.5878;504.7163;508.81958
0.0575;135599.1;84501.18;-157452.23;0;-14.92278;-100.408066;489.5878;504.7163;508.81958
0.058;135449.97;84608.42;-157242.73;0;-14.92278;-100.408066;489.5878;504.7163;508.81958
0.0585;135347.44;84695.22;-156904.9;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.059;135361.67;84688.62;-156684.33;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0595;135490.94;84571.91;-156394.33;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.06;135630.86;84425.74;-156243.75;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0605;135879.55;84123.12;-156097.42;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.061;136043.89;83884.71;-156055.28;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0615;136241.02;83515;-156068.42;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.062;136310.45;83288.945;-156117.8;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0625;136298.66;83027.375;-156225.69;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.063;136199.5;82926.375;-156300.73;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0635;135914.22;82906.85;-156382.95;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.064;135633.73;82984.805;-156398.64;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0645;135125.97;83226.18;-156338.92;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.065;134756.45;83453.55;-156235.94;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0655;134192.88;83852.336;-155986.44;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.066;133832.44;84126.875;-155763.94;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.0665;133365.44;84498.414;-155368.73;0;-14.92278;-100.408066;481.77603;504.7163;508.81958
0.067;133124.16;84691.2;-155082.27;0;-14.92278;0;481.77603;504.7163;502.65805
0.0675;132870.45;84862.38;-154652.9;0;-14.92278;0;481.77603;504.7163;502.65805
0.068;132774.72;84886.97;-154387.16;0;-14.92278;0;481.77603;504.7163;502.65805
0.0685;132718.67;84790.016;-154049.19;0;-14.92278;0;481.77603;504.7163;502.65805
0.069;132721.55;84647.12;-153876.5;0;-14.92278;0;481.77603;504.7163;502.65805
0.0695;132748.34;84349.125;-153705.12;0;-14.92278;0;481.77603;504.7163;502.65805
0.07;132758.83;84120.37;-153646.77;0;-14.92278;0;481.77603;504.7163;502.65805
0.0705;132730.14;83780.01;-153626.12;0;-14.92278;0;481.77603;504.7163;502.65805
0.071;132663.02;83581.94;-153639.45;0;-14.92278;0;481.77603;504.7163;502.65805
0.0715;132469.48;83364.64;-153667.81;0;-14.92278;0;481.77603;504.7163;502.65805
0.072;132292.38;83285.82;-153676.6;0;-14.92278;0;481.77603;504.7163;502.65805
0.0725;131967.86;83271.22;-153652.1;0;-14.92278;0;481.77603;504.7163;502.65805
0.073;131724.19;83322.68;-153600.11;0;-14.92278;0;481.77603;504.7163;502.65805
0.0735;131387.2;83463.18;-153458.69;0;0;0;481.77603;498.67062;502.65805
0.074;131190.73;83575.99;-153322.75;0;0;0;481.77603;498.67062;502.65805
0.0745;130998.07;83729.4;-153070.14;0;0;0;481.77603;498.67062;502.65805
0.075;130945.9;83796.305;-152883.6;0;0;0;481.77603;498.67062;502.65805
0.0755;130990.266;83810.95;-152606.66;0;0;0;475.884;498.67062;502.65805
0.076;131094.56;83753.36;-152441.48;0;0;0;475.884;498.67062;502.65805
0.0765;131335.2;83564.88;-152248.77;0;0;0;475.884;498.67062;502.65805
0.077;131529.53;83379.59;-152167.83;0;0;0;475.884;498.67062;502.65805
0.0775;131816.56;83039.62;-152126.95;0;0;0;475.884;498.67062;502.65805
0.078;131996.22;82793.77;-152152.14;0;0;0;475.884;498.67062;502.65805
0.0785;132191.75;82440.805;-152254.73;0;0;0;475.884;498.67062;502.65805
0.079;132251.89;82242.86;-152352.31;0;0;0;475.884;498.67062;502.65805
0.0795;132209.78;82042.516;-152511.66;0;0;0;475.884;498.67062;502.65805
0.08;132090.77;81990.086;-152607;0;0;0;475.884;498.67062;502.65805
0.0805;131790.97;82046.13;-152701.36;0;0;0;475.884;498.67062;502.65805
0.081;131507.66;82170.42;-152716.11;0;0;0;475.884;498.67062;502.65805
0.0815;131011.07;82464.31;-152648.69;0;0;0;475.884;498.67062;502.65805
0.082;130664.59;82709.45;-152540.84;0;0;0;475.884;498.67062;502.65805
0.0825;130189.05;83101.51;-152294.86;0;0;0;475.884;498.67062;502.65805
0.083;129919.04;83347.36;-152089.8;0;0;0;475.884;498.67062;502.65805
