Time,L5.Constant Power L5_vab,L6.Constant Power L6_vab,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.IA,measurement4.Three-phase Meter4.POWER_S,measurement5.Three-phase Meter5.IA,measurement6.Three-phase Meter6.IA
0.0575,2217.5166,2373.6824,325889.06,1053748.9,-172268.78,980.4032,1056.9465,1000.237,49.685814,134926.97,38.9575,-98.41799
0.058,2204.5732,2141.1704,330440.25,1059489.1,-168158.03,980.4032,1056.9465,1000.237,56.051365,134535.94,45.21892,-98.553535
0.0585,2102.4211,1818.1145,333586.2,1063195.5,-165132.14,980.4032,1056.9465,1000.237,60.479126,134244.36,49.926556,-95.15102
0.059,1915.1145,1423.4731,338499.4,1068769.5,-160287.94,980.4032,1056.9465,935.6141,62.81541,133792.11,52.918194,-88.332
0.0595,1650.7034,973.45337,341905.8,1072570.5,-156939.3,980.4032,1056.9465,935.6141,62.979603,133500.17,54.091774,-78.34207
0.06,1319.9674,478.0023,347184.97,1078470.5,-151878.83,980.4032,1056.9465,935.6141,60.966557,133102.48,53.406303,-65.53985
0.0605,936.40497,-40.16946,350789.88,1082563.5,-148555.0,980.4032,1056.9465,935.6141,56.84517,132876.92,50.886227,-50.384945
0.061,515.8024,-561.515,356258.44,1088940.4,-143742.02,980.4032,1056.9465,935.6141,50.758663,132612.77,46.6174,-33.421318
0.0615,74.902504,-1062.5789,359904.94,1093332.5,-140682.06,980.4032,1056.9465,935.6141,42.917507,132488.31,40.74727,-15.257962
0.062,-368.04156,-1523.5559,365315.22,1100050.9,-136320.88,980.4032,1056.9465,935.6141,33.5921,132377.06,33.477123,3.452837
0.0625,-795.86926,-1930.1127,368854.88,1104556.2,-133537.94,980.4032,1056.9465,935.6141,23.10594,132341.78,25.057125,22.039354
0.063,-1191.0582,-2263.8254,374042.88,1111252.9,-129473.01,980.4032,1056.9465,935.6141,11.820883,132330.56,15.776484,39.834465
0.0635,-1538.189,-2508.4866,377411.12,1115632.0,-126783.8,980.4032,1056.9465,935.6141,0.12801023,132336.22,5.9541526,56.199165
0.064,-1823.6885,-2656.4414,382328.44,1122064.9,-122689.57,980.4032,1056.9465,935.6141,-11.5693,132345.42,-4.071797,70.54577
0.0645,-2036.2224,-2702.6372,385534.28,1126256.4,-119870.05,980.4032,1056.9465,935.6141,-22.866337,132344.94,-13.9580345,82.35935
0.065,-2167.816,-2645.667,390289.75,1132405.4,-115441.414,980.4032,1056.9465,935.6141,-33.372826,132325.94,-23.364378,91.215996
0.0655,-2213.0916,-2485.6135,393466.94,1136420.5,-112338.33,980.4032,1056.9465,935.6141,-42.725147,132298.66,-31.967539,96.79774
0.066,-2171.1404,-2225.6758,398287.2,1142368.2,-107475.805,980.4032,1056.9465,935.6141,-50.59983,132246.92,-39.472275,98.90388
0.0665,-2043.2374,-1880.2979,401545.44,1146331.6,-104131.195,980.4032,1056.9465,935.6141,-56.725365,132210.36,-45.62037,97.458725
0.067,-1835.5233,-1461.9043,406499.03,1152340.5,-99047.68,980.4032,1056.9465,935.6141,-60.889595,132167.44,-50.20132,92.514565
0.0675,-1555.6129,-987.3691,409836.38,1156397.9,-95672.4,980.4032,1056.9465,935.6141,-62.948486,132155.94,-53.056988,84.24864
0.068,-1215.4385,-471.10565,414853.12,1162559.9,-90730.484,980.4032,1056.9465,935.6141,-62.831474,132177.08,-54.09026,72.95819
0.0685,-828.1084,66.417305,418182.56,1166695.0,-87563.18,980.4032,1056.9465,935.6141,-60.54215,132221.05,-53.26501,59.048054
0.069,-409.53497,599.82697,423101.44,1172840.4,-83054.85,980.4032,1056.9465,935.6141,-56.16006,132329.05,-50.610306,43.01778
0.0695,24.073156,1112.9347,426291.25,1176829.6,-80215.64,980.4032,1056.9465,935.6141,-49.836826,132424.9,-46.216965,25.443136
0.07,455.05304,1584.378,430877.16,1182527.9,-76178.88,980.4032,1056.9465,935.6141,-41.790955,132587.03,-40.23639,6.9549575
0.0705,867.0708,2000.5928,433775.25,1186045.6,-73603.9,980.4032,1056.9465,935.6141,-32.300934,132695.28,-32.873898,-11.781938
0.071,1243.4943,2335.925,437860.7,1190761.8,-69831.33,980.4032,1056.9465,935.6141,-21.694553,132832.0,-24.38261,-30.096914
0.0715,1570.16,2579.6614,440407.16,1193459.0,-67312.4,969.3701,1056.9465,935.6141,-10.338853,132891.27,-15.054287,-47.331223
0.072,1834.0847,2728.5305,443968.06,1196758.9,-63406.906,969.3701,1056.9465,935.6141,1.3739166,132914.02,-5.209392,-62.86626
0.0725,2025.7045,2773.392,446183.7,1198426.6,-60655.875,969.3701,1067.8236,935.6141,13.038341,132876.02,4.813828,-76.14427
0.073,2137.2275,2709.8176,449305.72,1200113.8,-56237.37,969.3701,1067.8236,935.6141,24.251753,132733.89,14.671001,-86.68866
0.0735,2165.346,2543.0056,451280.8,1200729.2,-53080.46,969.3701,1067.8236,935.6141,34.626064,132584.06,24.02369,-94.12021
0.074,2108.828,2277.2146,454123.97,1200974.4,-48039.945,969.3701,1067.8236,935.6141,43.802994,132287.62,32.55033,-98.17251
0.0745,1970.684,1922.4878,455958.7,1200742.8,-44504.957,969.3701,1067.8236,935.6141,51.46512,132052.78,39.95858,-98.700195
0.075,1756.7339,1497.3722,458637.8,1199927.6,-39015.777,969.3701,1067.8236,910.04913,57.34808,131664.19,45.993427,-95.68427
0.0755,1475.7378,1011.76764,460377.66,1199144.1,-35288.785,969.3701,1067.8236,910.04913,61.248062,131395.69,50.44833,-89.233
0.076,1139.1763,489.81174,462910.0,1197711.0,-29697.559,969.3701,1067.8236,910.04913,63.03087,130999.53,53.169792,-79.57736
0.0765,760.2723,-49.92304,464536.88,1196642.1,-26029.695,969.3701,1067.8236,910.04913,62.634785,130747.21,54.06497,-67.0646
0.077,354.50992,-587.8398,466866.44,1194913.4,-20702.389,969.3701,1067.8236,910.04913,60.073505,130392.695,53.10289,-52.143955
0.0775,-62.582752,-1103.4655,468332.62,1193697.8,-17298.738,969.3701,1067.8236,910.04913,55.43602,130175.71,50.316963,-35.351086
0.078,-473.96008,-1576.6332,470377.44,1191774.6,-12427.87,969.3701,1067.8236,910.04913,48.88253,129868.88,45.80315,-17.288727
0.0785,-864.205,-1988.0334,471626.84,1190409.5,-9322.291,969.3701,1067.8236,910.04913,40.639572,129669.89,39.716244,1.3946186
0.079,-1217.8248,-2316.2327,473304.34,1188208.4,-4820.989,969.3701,1067.8236,910.04913,30.992756,129369.53,32.265766,20.028572
0.0795,-1521.6222,-2561.993,474294.53,1186621.0,-1881.3429,969.3701,1067.8236,910.04913,20.275015,129158.484,23.707462,37.943012
0.08,-1763.9573,-2709.3108,475605.6,1184032.9,2511.4126,969.3701,1067.8236,910.04913,8.856914,128814.875,14.335633,54.495384
0.0805,-1909.8846,-2565.9578,464662.0,1149400.2,2351.593,969.3701,1067.8236,910.04913,-2.7485325,125138.68,3.7778676,55.25446
0.081,-1960.9115,-2455.4038,458755.16,1137226.1,1005.76685,969.3701,1067.8236,910.04913,-13.1642,123081.25,-5.4458365,64.94866
0.0815,-1935.1635,-2278.263,454731.1,1126146.5,446.36276,969.3701,1067.8236,910.04913,-23.101892,121542.305,-14.47163,72.30989
0.082,-1833.8112,-2042.192,448646.75,1105719.1,750.939,969.3701,1067.8236,910.04913,-32.200493,119100.75,-22.970968,77.07375
0.0825,-1665.8778,-1745.5702,444205.56,1090688.5,1830.5128,969.3701,1067.8236,910.04913,-40.128872,117440.54,-30.63553,79.06952
0.083,-1443.8462,-1385.7186,436195.06,1068577.4,4163.3306,969.3701,1067.8236,910.04913,-46.598133,114953.63,-37.18736,78.22586
