Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0685,252186.2,396856.56,-171755.53,706.2384,699.4515,746.77075
0.069,254792.5,394438.25,-172976.73,706.2384,699.4515,746.77075
0.0695,258586.14,390679.25,-175099.88,706.2384,699.4515,746.77075
0.07,261058.62,388065.53,-176716.1,706.2384,699.4515,746.77075
0.0705,264644.94,384016.6,-179418.44,706.2384,699.4515,746.77075
0.071,266887.6,381266.28,-181383.97,706.2384,699.4515,746.77075
0.0715,270008.03,377105.97,-184548.36,706.2384,699.4515,746.77075
0.072,271954.56,374324.28,-186790.8,706.2384,699.4515,746.77075
0.0725,274740.34,370168.25,-190340.61,706.2384,699.4515,746.77075
0.073,276555.4,367443.44,-192825.2,706.2384,699.4515,746.77075
0.0735,279298.3,363493.22,-196716.73,706.2384,699.4515,746.77075
0.074,281199.72,360983.72,-199411.16,706.2384,699.4515,746.77075
0.0745,284280.44,357423.66,-203586.2,706.2384,699.4515,746.77075
0.075,286562.3,355169.8,-206447.95,706.2384,699.4515,746.77075
0.0755,290460.28,351915.06,-210842.69,706.2384,699.4515,746.77075
0.076,293438.94,349781.06,-213831.5,706.2384,699.4515,751.02954
0.0765,298552.4,346528.34,-218383.95,725.45056,699.4515,751.02954
0.077,302415.28,344257.75,-221451.9,725.45056,699.4515,751.02954
0.0775,308898.8,340572.34,-226076.22,725.45056,699.4515,751.02954
0.078,313662.1,337860.56,-229156.3,725.45056,699.4515,751.02954
0.0785,321386.94,333333.47,-233736.19,725.45056,699.4515,751.02954
0.079,326846.1,329989.97,-236739.23,725.45056,699.4515,751.02954
0.0795,335335.9,324493.7,-241125.9,725.45056,699.4515,751.02954
0.08,341095.2,320529.47,-243946.84,725.45056,699.4515,751.02954
0.0805,349735.75,314186.25,-247985.36,725.45056,699.4515,751.02954
0.081,355394.06,309737.9,-250533.5,725.45056,699.4515,751.02954
0.0815,363634.6,302832.25,-254122.95,725.45056,699.4515,751.02954
0.082,368884.3,298133.88,-256358.14,725.45056,699.4515,751.02954
0.0825,376331.44,291049.44,-259484.88,725.45056,699.4515,751.02954
0.083,380993.6,286352.78,-261435.9,725.45056,699.4515,751.02954
0.0835,387551.62,279405.3,-264206.5,725.45056,699.4515,751.02954
0.084,391649.4,274853.03,-265977.3,725.45056,699.4515,751.02954
0.0845,397409.88,268147.12,-268565.62,725.45056,699.4515,751.02954
0.085,401010.34,263750.6,-270271.2,725.45056,699.4515,751.02954
0.0855,406077.9,257238.77,-272841.12,725.45056,728.7261,751.02954
0.086,409254.5,252933.86,-274583.4,725.45056,728.7261,751.02954
0.0865,413688.03,246497.67,-277268.94,725.45056,728.7261,751.02954
0.087,416422.2,242210.1,-279115.97,725.45056,728.7261,751.02954
0.0875,420186.34,235785.02,-281967.84,725.45056,728.7261,751.02954
0.088,422426.84,231515.17,-283911.53,725.45056,728.7261,751.02954
0.0885,425378.16,225157.5,-286864.66,725.45056,728.7261,751.02954
0.089,427071.88,220974.83,-288843.03,725.45056,728.7261,751.02954
0.0895,429226.84,214837.25,-291801.8,725.45056,728.7261,751.02954
0.09,430403.6,210873.0,-293759.6,725.45056,728.7261,751.02954
0.0905,431849.44,205176.19,-296663.03,725.45056,728.7261,751.02954
0.091,429097.22,199704.8,-295669.1,725.45056,728.7261,751.02954
0.0915,425079.22,191500.69,-295730.2,725.45056,728.7261,751.02954
0.092,423318.28,186747.56,-296372.22,725.45056,728.7261,751.02954
0.0925,418545.97,179242.34,-295358.34,725.45056,728.7261,751.02954
0.093,414070.78,174545.27,-293790.1,725.45056,728.7261,751.02954
0.0935,405893.56,169076.03,-291197.84,725.45056,728.7261,751.02954
0.094,399974.6,166803.89,-289962.62,667.1913,728.7261,659.4742
0.0945,391556.8,165078.69,-289501.78,667.1913,728.7261,659.4742
0.095,386859.4,164470.64,-290091.88,667.1913,728.7261,659.4742
0.0955,381621.84,163455.16,-291698.38,667.1913,728.7261,659.4742
0.096,379189.4,162474.44,-292779.7,667.1913,728.7261,659.4742
0.0965,376538.94,160606.78,-293833.16,667.1913,728.7261,659.4742
0.097,375164.06,159193.6,-294040.84,667.1913,728.7261,659.4742
0.0975,373474.16,156820.31,-293694.16,667.1913,728.7261,659.4742
0.098,372589.72,154984.31,-293115.84,667.1913,728.7261,659.4742
0.0985,371488.2,151768.02,-291790.1,667.1913,728.7261,659.4742
0.099,370718.9,149376.02,-290581.75,667.1913,728.7261,659.4742
0.0995,369166.94,145645.42,-288258.16,667.1913,728.7261,659.4742
0.1,367765.16,143190.22,-286410.44,667.1913,728.7261,659.4742
0.1005,365122.84,139680.78,-283356.72,667.1913,728.7261,659.4742
0.101,363052.9,137496.02,-281237.8,667.1913,728.7261,659.4742
0.1015,359498.22,134521.81,-278044.0,667.1913,728.7261,659.4742
0.102,356800.25,132786.12,-275912.78,667.1913,728.7261,659.4742
0.1025,352246.72,130577.2,-272679.06,667.1913,728.7261,659.4742
0.103,348916.34,129331.96,-270489.66,667.1913,585.09424,659.4742
0.1035,343616.4,127693.47,-267188.84,667.1913,585.09424,659.4742
0.104,339785.1,126588.76,-264951.9,667.1913,585.09424,659.4742
0.1045,331525.16,123292.305,-260502.6,667.1913,585.09424,659.4742
0.105,323263.0,118759.24,-255717.9,667.1913,585.09424,659.4742
0.1055,306254.62,107606.31,-244078.33,667.1913,585.09424,659.4742
0.106,291642.75,98280.92,-233007.55,667.1913,585.09424,659.4742
0.1065,264597.97,84961.91,-212626.48,667.1913,585.09424,659.4742
0.107,243646.89,78155.49,-197951.08,667.1913,585.09424,659.4742
0.1075,210219.44,71370.98,-176720.66,667.1913,585.09424,659.4742
0.108,188296.17,68231.71,-163875.75,667.1913,585.09424,659.4742
0.1085,157896.89,64071.51,-146645.97,667.1913,585.09424,659.4742
0.109,139623.97,61378.184,-136159.61,667.1913,585.09424,659.4742
0.1095,115149.93,57646.023,-121433.27,667.1913,585.09424,659.4742
0.11,100819.375,55396.562,-112237.56,667.1913,585.09424,659.4742
0.1105,82389.35,52071.332,-99431.734,667.1913,585.09424,659.4742
0.111,71844.77,49743.7,-91416.6,667.1913,585.09424,379.03815
0.1115,57308.188,46286.26,-79542.42,385.22134,585.09424,379.03815
0.112,47600.277,44268.7,-71313.03,385.22134,585.09424,379.03815
0.1125,32356.094,41858.734,-58216.723,385.22134,585.09424,379.03815
0.113,22020.262,40498.08,-49180.363,385.22134,585.09424,379.03815
0.1135,7233.962,38392.715,-35881.027,385.22134,585.09424,379.03815
0.114,-1817.6763,36858.4,-27564.986,385.22134,585.09424,379.03815
0.1145,-14412.817,34616.496,-16151.152,385.22134,585.09424,379.03815
0.115,-22519.799,33385.17,-9152.859,385.22134,585.09424,379.03815
0.1155,-34581.586,32091.213,744.42346,385.22134,585.09424,379.03815
0.116,-42428.285,31526.254,7061.3423,385.22134,585.09424,379.03815
0.1165,-53435.355,30910.873,16142.267,385.22134,585.09424,379.03815
0.117,-60086.547,30586.43,21894.64,385.22134,585.09424,379.03815
0.1175,-69089.09,30208.797,30062.285,385.22134,585.09424,379.03815
0.118,-74568.02,30011.26,35250.516,385.22134,585.09424,379.03815
0.1185,-82102.12,29700.797,42764.367,385.22134,585.09424,379.03815
0.119,-86631.27,29442.113,47623.906,385.22134,585.09424,379.03815
0.1195,-92574.23,29038.686,54623.418,385.22134,254.31114,379.03815
0.12,-95993.8,28868.799,59014.49,385.22134,254.31114,379.03815
0.1205,-100467.62,28921.95,65061.4,385.22134,254.31114,379.03815
0.121,-103103.92,29159.56,68701.086,385.22134,254.31114,379.03815
0.1215,-106557.234,29668.77,73597.02,385.22134,254.31114,379.03815
0.122,-108466.98,30010.312,76520.88,385.22134,254.31114,379.03815
0.1225,-110637.43,30479.17,80446.26,385.22134,254.31114,379.03815
0.123,-111615.445,30812.645,82764.74,385.22134,254.31114,379.03815
0.1235,-112440.97,31453.754,85789.805,385.22134,254.31114,379.03815
0.124,-112606.23,31999.227,87510.38,385.22134,254.31114,379.03815
0.1245,-112315.13,32942.332,89689.28,385.22134,254.31114,379.03815
0.125,-111757.32,33605.477,90920.95,385.22134,254.31114,379.03815
0.1255,-110427.01,34597.04,92524.79,385.22134,254.31114,379.03815
0.126,-109234.66,35245.098,93478.93,385.22134,254.31114,379.03815
0.1265,-107050.81,36181.066,94780.93,385.22134,254.31114,379.03815
0.127,-105361.89,36760.152,95570.82,385.22134,254.31114,379.03815
0.1275,-102531.89,37514.527,96644.77,276.23523,254.31114,364.5065
0.128,-100496.62,37928.543,97295.23,276.23523,254.31114,364.5065
0.1285,-97341.86,38432.727,98196.19,276.23523,254.31114,364.5065
0.129,-95241.08,38710.082,98757.086,276.23523,254.31114,364.5065
0.1295,-92166.92,39058.254,99534.76,276.23523,254.31114,364.5065
0.13,-90177.82,39240.83,99994.336,276.23523,254.31114,364.5065
0.1305,-87243.68,39428.09,100557.484,276.23523,254.31114,364.5065
0.131,-85304.375,39497.527,100832.14,276.23523,254.31114,364.5065
0.1315,-82384.49,39546.51,101084.0,276.23523,254.31114,364.5065
