Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement1.Three-phase Meter1.POWER_Q,measurement2.Three-phase Meter2.POWER_Q,measurement3.Three-phase Meter3.POWER_Q,measurement4.Three-phase Meter4.POWER_P,measurement5.Three-phase Meter5.POWER_P,measurement6.Three-phase Meter6.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_Q
0.023,469.9324,452.50763,476.23734,-24.090816,31.530552,-0.7926685,0.40566686,0.42417967,-0.2544884,0.019256333,0.014708443,-0.09932943
0.0235,469.9324,452.50763,476.23734,-24.081692,31.520685,-0.7890406,0.40572459,0.42430183,-0.25713295,0.019474601,0.014864339,-0.09000857
0.024,469.9324,452.50763,476.23734,-24.090654,31.524181,-0.7901112,0.40587744,0.42447785,-0.25879356,0.019563757,0.014903036,-0.083717816
0.0245,469.9324,452.50763,476.23734,-24.124601,31.544106,-0.79604536,0.4062007,0.42480418,-0.26110113,0.019592343,0.014845611,-0.074128956
0.025,469.9324,452.50763,476.23734,-24.157988,31.565863,-0.802055,0.40643275,0.42501372,-0.2624952,0.019525668,0.014730349,-0.06762461
0.0255,469.9324,452.50763,476.23734,-24.21725,31.606731,-0.8124509,0.40671182,0.42523783,-0.2643315,0.019314243,0.014461089,-0.057716742
0.026,469.9324,452.50763,476.23734,-24.256184,31.635784,-0.81926084,0.4068158,0.42529207,-0.26536927,0.019120231,0.014238617,-0.051036343
0.0265,469.9324,452.50763,476.23734,-24.304499,31.675095,-0.82756585,0.4067984,0.42519605,-0.26662832,0.018789992,0.013886721,-0.040967587
0.027,469.9324,452.50763,476.23734,-24.325026,31.694645,-0.83085346,0.4066604,0.4250108,-0.26726833,0.018572759,0.013669023,-0.034265105
0.0275,469.9324,452.50763,476.23734,-24.332695,31.708954,-0.8310078,0.40627667,0.4245763,-0.26794317,0.018301316,0.01341474,-0.024298424
0.028,469.9324,452.50763,476.23734,-24.321157,31.7068,-0.82746917,0.4059277,0.42421278,-0.2682191,0.018181631,0.013315178,-0.01774609
0.0285,469.9324,452.50763,476.23734,-24.2804,31.68565,-0.81673,0.4053301,0.42362833,-0.268409,0.018123688,0.013292441,-0.008093227
0.029,469.9324,452.50763,476.23734,-24.240318,31.66083,-0.80648345,0.40492854,0.42325982,-0.2684098,0.018173302,0.013364813,-0.001781248
0.0295,469.9324,452.50763,476.23734,-24.167873,31.611952,-0.78842086,0.40440288,0.42281765,-0.268259,0.018374352,0.013593023,0.007518417
0.03,469.9324,452.50763,476.23734,-24.116518,31.575254,-0.776085,0.4041459,0.42263502,-0.26807293,0.018578716,0.013807625,0.013630644
0.0305,469.9324,452.50763,476.23734,-24.044561,31.521177,-0.75965357,0.40395364,0.42257127,-0.2676789,0.018952243,0.014179535,0.02272611
0.031,469.9324,452.50763,476.23734,-24.005411,31.48985,-0.7511894,0.4039695,0.42267567,-0.26733705,0.019217446,0.014429968,0.028781526
0.0315,469.9324,452.50763,476.23734,-23.967394,31.455563,-0.743352,0.4042055,0.4230332,-0.26668733,0.019585032,0.014758666,0.03791695
0.032,469.9324,452.50763,476.23734,-23.957941,31.44343,-0.74174315,0.40448028,0.4233774,-0.2661433,0.019786878,0.014921054,0.04407403
0.0325,469.9324,452.50763,476.23734,-23.967276,31.442911,-0.74471176,0.40501913,0.4239816,-0.26511934,0.019980948,0.015047386,0.053442296
0.033,469.9324,452.50763,476.23734,-23.987589,31.453753,-0.749803,0.4054108,0.42439386,-0.2642729,0.020024704,0.015044881,0.05977959
0.0335,469.9324,452.50763,476.23734,-24.032408,31.482868,-0.7605286,0.40596023,0.42494074,-0.2627221,0.019960795,0.014917854,0.069395304
0.034,469.9324,452.50763,476.23734,-24.066612,31.507238,-0.76841104,0.40625548,0.42521465,-0.2614892,0.019843759,0.014766354,0.07584781
0.0345,469.9324,457.42908,476.23734,-24.115252,31.544165,-0.7788445,0.4065273,0.42543718,-0.25933635,0.019590652,0.014479205,0.08552001
0.035,475.36127,457.42908,476.23734,-24.140268,31.565054,-0.7836261,0.40657532,0.42544615,-0.257705,0.019399783,0.014276405,0.09192047
0.0355,475.36127,457.42908,476.23734,-24.158604,31.584936,-0.78615797,0.40643683,0.42525896,-0.2549913,0.019127231,0.014005105,0.101378486
0.036,475.36127,457.42908,476.23734,-24.155499,31.588049,-0.7844506,0.4062166,0.42502245,-0.25302756,0.018978408,0.013872102,0.107555844
0.0365,475.36127,457.42908,476.23734,-24.125793,31.575178,-0.77690095,0.40574688,0.4245605,-0.24989717,0.018846678,0.013778533,0.11659438
0.037,475.36127,457.42908,476.23734,-24.090506,31.555098,-0.7687912,0.40537947,0.42422563,-0.24771494,0.018833134,0.013798186,0.12246362
0.0375,475.36127,457.42908,476.23734,-24.020578,31.510885,-0.7528743,0.404843,0.42376593,-0.24433756,0.018939957,0.01395136,0.13105413
0.038,475.36127,457.42908,476.23734,-23.967894,31.475159,-0.740676,0.4045418,0.42353305,-0.2420297,0.019089082,0.014125245,0.13666524
0.0385,475.36127,457.42908,476.23734,-23.889734,31.418522,-0.72225094,0.4042474,0.42335477,-0.23848788,0.019397747,0.014459199,0.14496742
0.039,475.36127,457.42908,480.55774,-23.84322,31.38248,-0.71134895,0.4041786,0.42337066,-0.23606364,0.019642659,0.014703701,0.15046427
0.0395,475.36127,457.42908,480.55774,-23.789562,31.337032,-0.69923174,0.40428534,0.42360035,-0.23230027,0.020013243,0.015052305,0.15871467
0.04,475.36127,457.42908,480.55774,-23.76774,31.31548,-0.694792,0.4044851,0.42387453,-0.2296793,0.020233702,0.01524339,0.16424644
0.0405,475.36127,457.42908,480.55774,-23.758656,31.299511,-0.6938814,0.40493095,0.4244112,-0.22553094,0.020482803,0.015428591,0.17261468
0.041,475.36127,457.42908,480.55774,-23.768076,31.300194,-0.69660884,0.40529287,0.42480817,-0.22259484,0.020568585,0.015470338,0.17823747
0.0415,475.36127,457.42908,480.55774,-23.801498,31.316433,-0.7041501,0.4058461,0.4253769,-0.21790197,0.020570992,0.015404814,0.18670575
0.042,475.36127,457.42908,480.55774,-23.833195,31.334856,-0.71039397,0.4061701,0.42569026,-0.21457241,0.020481993,0.015283874,0.19234113
