Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
15.0, 2.1276237964630127, 0.0, -0.0, 60.0179557800293, 59.99510192871094, 60.01090621948242, -0.007887386716902256, -0.007829239591956139, -0.007849415764212608, 15.053999900817871
15.25, 1.4803253412246704, 0.0, -0.0, 60.018558502197266, 59.99510192871094, 60.257041931152344, 0.008671067655086517, 0.00872118677943945, 0.008653059601783752, 15.304400444030762
15.5, 2.1228461265563965, 0.0, 0.0, 60.018585205078125, 59.99510192871094, 60.258445739746094, 0.011432538740336895, 0.011526443995535374, 0.011388606391847134, 15.55679988861084
15.75, 2.7468338012695312, 0.0, 0.0, 60.01779556274414, 59.99510192871094, 60.01090621948242, 0.0022844828199595213, 0.0023965712171047926, 0.002282075583934784, 15.805000305175781
16.0, 2.063790798187256, 0.0, 0.0, 60.01795959472656, 59.99510192871094, 60.01090621948242, -0.007536238990724087, -0.007454231847077608, -0.007498956751078367, 16.055400848388672
16.25, 1.5594232082366943, 0.0, -0.0, 60.018558502197266, 59.99510192871094, 60.01090621948242, 0.008664445951581001, 0.008701075799763203, 0.008645972236990929, 16.303199768066406
16.5, 2.056123733520508, 0.0, 0.0, 60.018585205078125, 59.99510192871094, 60.01090621948242, 0.011752824299037457, 0.011826381087303162, 0.011708677746355534, 16.553800582885742
16.75, 2.9350779056549072, 0.0, 0.0, 60.01779556274414, 59.99510192871094, 60.01090621948242, 0.0018792003393173218, 0.0019891560077667236, 0.0018749305745586753, 16.80660057067871
17.0, 2.080984592437744, 0.0, 0.0, 60.01795959472656, 59.99510192871094, 60.01090621948242, -0.007535725366324186, -0.007453983649611473, -0.0074987513944506645, 17.055400848388672
17.25, 1.4786041975021362, 0.0, 0.0, 60.01856231689453, 59.99510192871094, 60.01058578491211, 0.008874502032995224, 0.008941296488046646, 0.008856303989887238, 17.305400848388672
17.5, 2.1958909034729004, 0.0, 0.0, 60.018585205078125, 59.99510192871094, 60.01058578491211, 0.011416534893214703, 0.011503258720040321, 0.011371227912604809, 17.556800842285156
17.75, 2.8295600414276123, 0.0, 0.0, 60.01779556274414, 59.99510192871094, 60.01090621948242, 0.0020048394799232483, 0.0021085187327116728, 0.001998581923544407, 17.803800582885742
18.0, 2.284482717514038, 0.0, 0.0, 60.0179557800293, 59.99510192871094, 60.01090621948242, -0.008104750886559486, -0.008032066747546196, -0.008067658171057701, 18.056800842285156
18.25, 1.4360426664352417, 0.0, 0.0, 60.018558502197266, 59.99510192871094, 60.01058578491211, 0.0006265084957703948, 0.0006872490048408508, 0.0006332063931040466, 18.305400848388672
18.5, 2.0214576721191406, 0.0, 0.0, 60.018592834472656, 59.99510192871094, 60.01058578491211, 0.00900785531848669, 0.00910282228142023, 0.008969669230282307, 18.55500030517578
18.75, 2.9049291610717773, 0.0, 0.0, 60.01780700683594, 59.99510192871094, 60.01090621948242, 0.0009146317606791854, 0.0010395332938060164, 0.0009155619773082435, 18.80500030517578
19.0, 2.2235569953918457, 0.0, 0.0, 60.01795196533203, 59.99510192871094, 60.01090621948242, -0.009023438207805157, -0.00894563365727663, -0.008984758518636227, 19.055999755859375
19.25, 1.3838385343551636, 0.0, 0.0, 60.0185546875, 59.99510192871094, 60.24578857421875, 0.00038908308488316834, 0.00044712115777656436, 0.00039493825170211494, 19.304800033569336
