Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.052,216335.28,207957.45,203541.84,877.75226,834.52997,829.48663,53.935017,8.079751,55.53212,1.124254,2.0483546,30.694695
0.0525,217227.5,206304.52,207720.94,877.75226,834.52997,829.48663,51.685997,8.959936,53.61623,2.5016937,3.52874,28.62586
0.053,217157.48,204553.16,209815.23,877.75226,834.52997,829.48663,50.147797,9.461463,52.28495,3.349638,4.4168606,27.197924
0.0535,212897.42,194015.0,209661.16,877.75226,834.52997,829.48663,49.437553,9.55677,50.948895,4.214979,6.7494354,25.10638
0.054,210424.64,189481.31,209490.61,877.75226,834.52997,829.48663,47.87107,9.884161,49.52603,4.872564,7.3358517,23.735394
0.0545,204886.14,181692.73,206935.75,877.75226,834.52997,829.48663,45.76355,10.121848,47.525105,5.6311145,8.310994,21.592913
0.055,199826.05,175839.08,203407.1,877.75226,834.52997,829.48663,44.466827,10.114119,46.25701,5.971185,8.977088,20.092655
0.0555,190253.98,165820.42,195343.08,877.75226,834.52997,829.48663,42.615814,9.871351,44.41248,6.2213764,9.9187155,17.72889
0.056,182683.06,158114.98,188341.42,877.75226,834.52997,829.48663,41.417507,9.565322,43.197025,6.2178845,10.478157,16.088173
0.0565,169773.22,144779.88,175983.27,877.75226,834.52997,829.48663,39.64228,8.897069,41.357788,5.9807854,11.168851,13.532752
0.057,160235.34,134716.06,166851.05,877.75226,834.52997,829.48663,38.461487,8.317758,40.10582,5.6901603,11.514723,11.778512
0.0575,144707.95,118144.25,152256.39,591.5967,834.52997,829.48663,36.675125,7.258425,38.179626,5.097694,11.825978,9.085918
