Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0335,326280.75,528767.2,80023.05,373.48453,324.95068,505.62253,72.591064,-29.156584,70.10952,-34.19315,-1.818021,24.579964
0.034,325720.44,530667.06,76300.414,373.48453,451.2324,505.62253,73.68255,-30.533245,70.86233,-35.4624,-1.3530422,27.094131
0.0345,324597.8,533221.44,70539.945,373.48453,451.2324,505.62253,75.30192,-32.664337,71.96633,-37.402496,-0.6676533,30.803463
0.035,323613.03,534649.4,66597.36,373.48453,451.2324,505.62253,76.357185,-34.123814,72.677536,-38.713463,-0.20813058,33.347694
0.0355,321778.88,536346.56,60577.18,373.48453,451.2324,505.62253,77.885765,-36.36021,73.69862,-40.691517,0.48165196,37.117382
0.036,320349.72,537205.1,56530.156,373.48453,451.2324,505.62253,78.86033,-37.870686,74.34824,-42.010113,0.9173663,39.622494
0.0365,317996.5,538208.75,50484.63,373.48453,451.2324,505.62253,80.25018,-40.14409,75.2752,-43.97155,1.5055914,43.28547
0.037,316361.34,538801.5,46521.348,373.48453,451.2324,505.62253,81.12862,-41.651512,75.865036,-45.260365,1.8468741,45.706635
0.0375,313955.78,539777.4,40758.867,602.35156,451.2324,505.62253,82.384285,-43.881992,76.71792,-47.155632,2.2350762,49.246128
0.038,312474.3,540628.4,37076.266,602.35156,451.2324,505.62253,83.18767,-45.33842,77.27227,-48.393005,2.370985,51.565514
0.0385,310561.56,542358.6,31817.799,602.35156,451.2324,505.62253,84.36036,-47.471615,78.09469,-50.20697,2.4570096,55.001152
0.039,309554.44,543904.8,28484.467,602.35156,451.2324,505.62253,85.13319,-48.860302,78.644325,-51.3914,2.3478937,57.29994
0.0395,308501.1,546884.4,23697.45,602.35156,451.2324,505.62253,86.297966,-50.889984,79.481285,-53.139244,2.042542,60.724133
0.04,308098.3,549304.2,20600.14,602.35156,451.2324,505.62253,87.086075,-52.218456,80.04955,-54.29314,1.7101115,63.054348
0.0405,307857.56,553519.25,15999.331,602.35156,451.2324,505.62253,88.29817,-54.18922,80.91807,-56.019382,1.036255,66.62965
0.041,307864.75,556618.25,12907.053,602.35156,451.2324,505.62253,89.126945,-55.50269,81.50477,-57.174458,0.5234295,69.036896
0.0415,307951.88,561461.2,8151.623,602.35156,451.2324,505.62253,90.389114,-57.493984,82.387184,-58.923744,-0.38508478,72.712685
0.042,307960.03,564693.75,4868.2607,602.35156,451.2324,505.62253,91.23444,-58.845886,82.969025,-60.104126,-1.0197562,75.230896
0.0425,307759.38,569300.7,-253.12628,602.35156,451.2324,505.62253,92.49434,-60.91559,83.816376,-61.896317,-2.0468678,79.0159
0.043,307415.4,572107.06,-3793.4395,602.35156,451.2324,505.62253,93.31615,-62.32369,84.355835,-63.101944,-2.7350426,81.55151
0.0435,306526.56,575781.06,-9238.417,602.35156,451.2324,505.62253,94.50021,-64.47338,85.11855,-64.91652,-3.7866678,85.383644
0.044,305685.94,577860.25,-12903.989,602.35156,451.2324,505.62253,95.24834,-65.9213,85.59184,-66.12193,-4.5307903,87.87794
0.0445,304126.38,580479.5,-18341.08,602.35156,451.2324,505.62253,96.29884,-68.09543,86.2478,-67.90657,-5.645562,91.56653
0.045,302946.4,581952.8,-21858.037,602.35156,451.2324,505.62253,96.949486,-69.535065,86.652534,-69.07117,-6.451753,93.95051
0.0455,301121.7,583978.1,-26878.213,602.35156,451.2324,505.62253,97.85642,-71.655876,87.222824,-70.770485,-7.7652736,97.41489
0.046,299970.25,585309.2,-30023.795,602.35156,451.2324,505.62253,98.42454,-73.03365,87.58677,-71.86666,-8.71694,99.64327
0.0465,298490.7,587546.06,-34426.137,602.35156,451.2324,505.62253,99.2394,-75.03397,88.12488,-73.45313,-10.3357115,102.908714
0.047,297745.44,589297.25,-37164.992,602.35156,451.2324,505.62253,99.77634,-76.32046,88.48869,-74.47543,-11.543782,105.02151
0.0475,297053.7,592488.06,-41046.03,602.35156,451.2324,505.62253,100.58687,-78.1869,89.05451,-75.968,-13.555843,108.14662
0.048,296873.78,595006.75,-43542.05,602.35156,451.2324,505.62253,101.144646,-79.39916,89.45038,-76.943954,-14.98598,110.18912
0.0485,296950.6,599368.25,-47276.543,602.35156,451.2324,505.62253,102.01696,-81.19,90.07569,-78.39699,-17.38681,113.3302
0.049,297156.88,602597.25,-49835.523,602.35156,451.2324,867.88904,102.629105,-82.38012,90.51139,-79.36934,-19.051792,115.40154
0.0495,297538.0,607700.9,-53910.71,602.35156,451.2324,867.88904,103.58379,-84.180916,91.18306,-80.84921,-21.718563,118.643906
0.05,297732.38,611155.44,-56846.98,602.35156,451.2324,867.88904,104.23972,-85.408295,91.6326,-81.85702,-23.556541,120.83886
0.0505,297735.9,616126.6,-61643.97,602.35156,451.2324,867.88904,105.22687,-87.30298,92.29131,-83.405876,-26.353994,124.16054
0.051,297436.1,619181.8,-65111.562,602.35156,451.2324,867.88904,105.871445,-88.60523,92.70799,-84.46144,-28.23372,126.434975
0.0515,296415.16,623198.56,-70687.92,602.35156,451.2324,867.88904,106.795425,-90.620094,93.28367,-86.07154,-31.017727,129.787
0.052,295333.03,625429.25,-74615.46,602.35156,839.30896,867.88904,107.36349,-91.99265,93.624825,-87.15289,-32.873005,132.01494
0.0525,293154.1,628091.75,-80720.54,602.35156,839.30896,867.88904,108.13779,-94.0765,94.06639,-88.76696,-35.600048,135.2668
0.053,291395.84,629440.5,-84869.84,602.35156,839.30896,867.88904,108.590164,-95.46428,94.31525,-89.82577,-37.42194,137.36055
0.0535,288440.62,631008.0,-91115.57,602.35156,839.30896,867.88904,109.17042,-97.52262,94.628265,-91.36888,-40.155056,140.33847
0.054,286359.94,631871.2,-95247.6,602.35156,839.30896,867.88904,109.49945,-98.859695,94.80459,-92.35851,-42.009777,142.19888
0.0545,283217.66,633151.9,-101344.56,602.35156,839.30896,867.88904,109.92935,-100.79756,95.039444,-93.774376,-44.88006,144.81577
0.055,281197.53,634141.94,-105329.24,602.35156,839.30896,867.88904,110.18569,-102.03633,95.18764,-94.67404,-46.885212,146.4301
0.0555,278355.62,636003.06,-111208.94,969.2062,839.30896,867.88904,110.55367,-103.81448,95.41568,-95.962494,-49.999092,148.70888
0.056,276608.53,637569.4,-115100.81,969.2062,839.30896,867.88904,110.80319,-104.95093,95.580345,-96.78886,-52.229355,150.15303
0.0565,274207.22,640427.2,-120998.14,969.2062,839.30896,867.88904,111.20543,-106.59955,95.858406,-97.99648,-55.700535,152.20503
0.057,272716.03,642611.4,-125043.46,969.2062,839.30896,867.88904,111.49592,-107.67284,96.06474,-98.79359,-58.156803,153.56639
0.0575,270514.66,646164.1,-131402.4,969.2062,839.30896,867.88904,111.9764,-109.27682,96.40019,-99.99751,-61.978073,155.56404
0.058,268973.44,648586.94,-135884.7,969.2062,839.30896,867.88904,112.318855,-110.35753,96.63249,-100.81591,-64.60153,156.9285
0.0585,266364.66,652015.94,-143011.61,969.2062,839.30896,867.88904,112.85161,-112.01991,96.97628,-102.078384,-68.60794,158.95535
0.059,264346.03,654010.8,-148029.72,969.2062,839.30896,867.88904,113.20416,-113.161606,97.190414,-102.945114,-71.30888,160.37132
0.0595,260799.95,656312.5,-155907.64,969.2062,839.30896,867.88904,113.699615,-114.93285,97.46509,-104.27753,-75.33178,162.46802
0.06,258055.7,657285.1,-161339.1,969.2062,839.30896,867.88904,113.98817,-116.1473,97.60622,-105.179794,-77.99145,163.84651
0.0605,253386.77,657806.8,-169633.31,969.2062,839.30896,867.88904,114.338394,-118.00078,97.742546,-106.53467,-81.902626,165.88014
0.061,249947.48,657539.4,-175181.3,969.2062,839.30896,867.88904,114.50739,-119.24482,97.78156,-107.427124,-84.47717,167.13148
0.0615,244402.53,656320.2,-183400.11,969.2062,839.30896,867.88904,114.65851,-121.0878,97.76339,-108.72448,-88.25627,168.90076
0.062,240534.44,655066.8,-188747.7,969.2062,839.30896,867.88904,114.69293,-122.289246,97.707954,-109.549835,-90.744,169.9477
0.0625,234617.83,652773.8,-196501.28,969.2062,839.30896,867.88904,114.66657,-124.01641,97.57878,-110.71482,-94.49488,171.30629
0.063,230692.77,651122.0,-201483.1,969.2062,839.30896,867.88904,114.609886,-125.10962,97.47513,-111.43922,-96.9672,172.08131
0.0635,224959.05,648666.7,-208725.84,969.2062,839.30896,867.88904,114.48829,-126.65071,97.31687,-112.44712,-100.8277,173.02487
0.064,221292.83,647160.25,-213461.3,969.2062,839.30896,867.88904,114.406235,-127.61756,97.22322,-113.07282,-103.45573,173.51166
0.0645,216044.72,645192.3,-220561.98,969.2062,839.30896,867.88904,114.306465,-128.98773,97.11611,-113.96088,-107.59347,174.07207
0.065,212675.67,644098.44,-225382.06,969.2062,839.30896,867.88904,114.26962,-129.86195,97.0722,-114.532326,-110.40961,174.36075
0.0655,207690.66,642730.94,-232882.92,969.2062,839.30896,867.88904,114.26878,-131.14363,97.04668,-115.38294,-114.879005,174.74489
0.066,204326.4,641933.25,-238134.31,969.2062,839.30896,867.88904,114.30619,-131.99792,97.0531,-115.95872,-117.90236,174.96672
0.0665,199048.44,640691.1,-246465.42,969.2062,839.30896,1128.1376,114.39859,-133.30725,97.08113,-116.85255,-122.57043,175.31401
0.067,191209.14,610324.56,-249573.02,969.2062,839.30896,1128.1376,111.309746,-134.87119,96.448006,-117.52605,-120.17079,175.31967
0.0675,177236.81,561027.6,-254955.0,969.2062,839.30896,1128.1376,107.330795,-135.26219,94.95796,-117.18453,-115.97409,173.56607
0.068,168611.88,548615.6,-262223.84,969.2062,839.30896,1128.1376,106.470024,-134.9797,94.25697,-116.86071,-115.85614,172.48811
0.0685,153618.92,536335.44,-276388.38,969.2062,839.30896,1128.1376,105.01475,-134.56746,93.07919,-116.44313,-115.080475,170.91583
0.069,143609.84,530692.06,-286569.2,969.2062,839.30896,1128.1376,104.02588,-134.23308,92.18109,-116.12134,-114.39965,169.79776
0.0695,130468.734,522916.88,-299964.75,969.2062,839.30896,1128.1376,102.61302,-133.56723,90.68697,-115.43408,-113.322716,168.01851
0.07,123127.11,517653.7,-306670.28,969.2062,1138.2571,1128.1376,101.73435,-132.97122,89.64713,-114.78497,-112.64591,166.7282
0.0705,113641.266,510922.38,-313752.75,969.2062,1138.2571,1128.1376,100.52395,-131.76575,88.145134,-113.490944,-111.77134,164.42844
0.071,108184.26,508236.88,-317470.44,969.2062,1138.2571,1128.1376,99.80634,-130.70972,87.25111,-112.42807,-111.30993,162.62253
0.0715,101926.23,507474.34,-323033.7,969.2062,1138.2571,1128.1376,98.929306,-128.7142,86.1517,-110.581024,-110.957855,159.42422
0.072,99520.82,508706.7,-326886.3,969.2062,1138.2571,1128.1376,98.52653,-127.134895,85.605225,-109.21177,-111.06981,157.00072
0.0725,98546.73,512086.03,-331944.38,969.2062,1138.2571,1128.1376,98.25663,-124.48428,85.08177,-106.9927,-111.69221,153.17564
0.073,99040.47,515065.16,-334149.28,969.2062,1138.2571,1128.1376,98.31134,-122.59976,84.93221,-105.424644,-112.481316,150.59694
0.0735,100192.375,521036.28,-335437.9,1156.0278,1138.2571,1128.1376,98.72631,-119.71097,85.00169,-102.97995,-114.08066,146.88223
0.074,100863.87,526448.94,-335529.66,1156.0278,1138.2571,1128.1376,99.19887,-117.788216,85.23177,-101.318756,-115.36299,144.52623
0.0745,102082.93,537072.06,-336145.2,1156.0278,1138.2571,1128.1376,100.14351,-114.95314,85.81404,-98.8353,-117.5524,141.2933
0.075,103508.875,545623.8,-337593.88,1156.0278,1138.2571,1128.1376,100.901505,-113.10828,86.32366,-97.21376,-119.11399,139.26569
0.0755,106977.09,559808.3,-341412.84,1156.0278,1138.2571,1128.1376,102.17636,-110.41434,87.19854,-94.86024,-121.596306,136.5158
0.076,109994.16,569625.3,-344496.1,1156.0278,1138.2571,1128.1376,103.08959,-108.66668,87.813065,-93.34478,-123.27119,134.81541
0.0765,114845.945,584181.06,-348655.75,1156.0278,1138.2571,1128.1376,104.49357,-106.10602,88.72183,-91.12858,-125.786736,132.38231
0.077,117977.78,593570.4,-350627.56,1156.0278,1138.2571,1128.1376,105.41892,-104.42349,89.29745,-89.66689,-127.39708,130.85579
0.0775,122502.87,607106.3,-352262.22,1156.0278,1138.2571,1128.1376,106.73953,-101.89477,90.098,-87.453636,-129.71999,128.53796
0.078,125619.414,615849.2,-352667.78,1156.0278,1138.2571,1128.1376,107.56016,-100.17103,90.59059,-85.94069,-131.18637,126.91423
0.0785,130799.81,628791.7,-352551.66,1156.0278,1138.2571,1128.1376,108.70079,-97.477264,91.27953,-83.57764,-133.2903,124.3623
0.079,134652.69,637483.3,-351988.78,1156.0278,1138.2571,1128.1376,109.41265,-95.58244,91.71841,-81.923134,-134.69325,122.499374
0.0795,140963.2,650898.3,-350209.47,1156.0278,1138.2571,1128.1376,110.458466,-92.56295,92.37457,-79.302505,-136.893,119.45604
0.08,145524.83,660223.25,-348334.97,1156.0278,1138.2571,1128.1376,111.168274,-90.42872,92.83096,-77.456535,-138.42542,117.312004
0.0805,153075.2,674970.4,-344703.6,1156.0278,1138.2571,1128.1376,112.29946,-87.0593,93.580826,-74.546295,-140.99358,113.908745
0.081,158721.19,685454.5,-342018.3,1156.0278,1138.2571,1128.1376,113.12466,-84.715294,94.14538,-72.52261,-142.86745,111.599174
0.0815,168186.78,702399.0,-338114.28,1156.0278,1138.2571,1128.1376,114.50062,-81.08784,95.115685,-69.39796,-145.93275,108.094666
0.082,175059.69,714616.8,-335790.62,1156.0278,1138.2571,1128.1376,115.51851,-78.62269,95.853775,-67.28071,-148.19492,105.8035
0.0825,185880.72,734368.25,-332797.53,1156.0278,1138.2571,1128.1376,117.21003,-74.90518,97.096375,-64.10154,-151.80779,102.47003
0.083,193254.94,748358.9,-331063.44,1156.0278,1138.2571,1128.1376,118.441765,-72.44128,98.00662,-62.005077,-154.3801,100.38835
0.0835,204404.1,770200.9,-328694.62,1156.0278,1138.2571,1039.1653,120.41891,-68.81444,99.469475,-58.93017,-158.37326,97.508
0.084,211874.92,785093.6,-327210.25,1156.0278,1138.2571,1039.1653,121.80341,-66.467285,100.49139,-56.941425,-161.10094,95.75362
0.0845,223133.48,807622.2,-325070.75,1156.0278,1138.2571,1039.1653,123.93248,-63.083355,102.05848,-54.063747,-165.17581,93.45224
0.085,230658.14,822638.06,-323670.9,1156.0278,1138.2571,1039.1653,125.356544,-60.924686,103.10732,-52.218555,-167.85333,92.0615
0.0855,241910.4,845023.94,-321504.4,1156.0278,1138.2571,1039.1653,127.45155,-57.8267,104.65375,-49.55537,-171.70996,90.22909
0.086,249367.58,859765.4,-319924.38,1156.0278,1138.2571,1039.1653,128.80196,-55.844517,105.65253,-47.843197,-174.1569,89.12732
0.0865,260502.08,881456.9,-317207.44,1156.0278,1073.0728,1039.1653,130.72365,-52.976913,107.08243,-45.352325,-177.6519,87.580826
0.087,267926.3,895567.3,-315109.34,1156.0278,1073.0728,1039.1653,131.92787,-51.119293,107.98346,-43.732853,-179.8313,86.58691
0.0875,279069.28,916146.7,-311520.78,1156.0278,1073.0728,1039.1653,133.60936,-48.391155,109.25245,-41.34984,-182.89392,85.17491
0.088,286470.47,929491.4,-308870.8,1156.0278,1073.0728,1039.1653,134.6466,-46.599773,110.04423,-39.78408,-184.85071,84.19903
0.0885,297435.06,948997.5,-304619.2,1156.0278,1073.0728,1039.1653,136.08177,-43.934692,111.15467,-37.465458,-187.56975,82.74762
0.089,304604.3,961651.06,-301675.0,1156.0278,1073.0728,1039.1653,136.96161,-42.16582,111.8459,-35.93839,-189.26634,81.75455
0.0895,315101.2,980022.9,-297210.75,1048.5892,1073.0728,1039.1653,138.1713,-39.523056,112.81027,-33.679596,-191.7506,80.234535
0.09,321910.0,991802.56,-294243.88,1048.5892,1073.0728,1039.1653,138.91042,-37.765106,113.40338,-32.19638,-193.28333,79.17634
0.0905,331796.78,1008610.3,-289821.1,1048.5892,1073.0728,1039.1653,139.91772,-35.139076,114.210915,-30.010227,-195.49268,77.59203
0.091,338133.7,1019187.9,-286862.12,1048.5892,1073.0728,1039.1653,140.51894,-33.39824,114.687614,-28.57931,-196.88235,76.51042
0.0915,347201.7,1034050.7,-282314.0,1048.5892,1073.0728,1039.1653,141.31026,-30.803785,115.29719,-26.468925,-198.84348,74.83967
0.092,352956.34,1043272.0,-279142.78,1048.5892,1073.0728,1039.1653,141.75568,-29.083282,115.625916,-25.080772,-200.04706,73.710045
0.0925,361213.0,1056077.1,-274065.16,1048.5892,1073.0728,1039.1653,142.29153,-26.510193,115.99146,-23.012566,-201.72133,71.91763
0.093,366519.53,1063973.5,-270392.44,1048.5892,1073.0728,1039.1653,142.5559,-24.789438,116.14691,-21.63109,-202.73454,70.67854
0.0935,374316.38,1074953.9,-264316.56,1048.5892,1073.0728,1039.1653,142.81183,-22.181221,116.24768,-19.532324,-204.12503,68.68152
0.094,379462.0,1081787.8,-259818.78,1048.5892,1073.0728,1039.1653,142.89172,-20.412344,116.23169,-18.10151,-204.99695,67.24161
0.0945,387209.84,1091507.4,-252346.89,1048.5892,1073.0728,1039.1653,142.88889,-17.691917,116.09913,-15.888257,-206.20195,64.9441
0.095,392458.2,1097746.0,-246893.94,1048.5892,1073.0728,1039.1653,142.81407,-15.824635,115.95203,-14.358605,-206.99522,63.301834
0.0955,400568.78,1106947.2,-238111.69,1048.5892,1073.0728,1039.1653,142.6229,-12.931621,115.67104,-11.976452,-208.21097,60.64651
0.096,406178.72,1113070.6,-231943.64,1048.5892,1073.0728,1039.1653,142.45576,-10.940515,115.46079,-10.329626,-209.04013,58.794033
