Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0235,45297.3,62548.03,-37384.777,438.55035,444.16232,443.8427,50.386395,0.9772082,50.67505,-0.11083629,0.23984627,0.0019767785
0.024,45316.4,62490.777,-37097.164,438.55035,444.16232,443.8427,50.32057,0.96667933,50.595497,-0.09468941,0.2393432,0.0019198972
0.0245,45449.03,62537.54,-36772.547,438.55035,444.16232,443.8427,50.27643,0.97450227,50.547188,-0.06709212,0.2390179,0.0019235099
0.025,45809.55,62722.074,-36147.99,438.55035,444.16232,443.8427,50.218246,1.0063964,50.490726,-0.00514176,0.23859234,0.0019859218
0.0255,46131.703,62905.195,-35686.848,438.55035,444.16232,443.8427,50.188393,1.0382427,50.46768,0.04547954,0.23837416,0.0020579405
0.026,46670.914,63226.98,-35017.8,438.55035,444.16232,443.8427,50.16363,1.0971916,50.45866,0.12577201,0.23817137,0.002190469
0.0265,47028.66,63447.04,-34636.887,438.55035,444.16232,443.8427,50.160812,1.1380497,50.470272,0.17729446,0.23812531,0.0022823543
0.027,47496.816,63735.594,-34231.53,438.55035,443.00146,443.8427,50.176205,1.1937724,50.509552,0.24075066,0.2381855,0.002402137
0.0275,47727.477,63875.234,-34098.63,438.55035,443.00146,443.8427,50.199028,1.2223749,50.545956,0.26938075,0.23829532,0.0024571514
0.028,47917.715,63977.133,-34121.234,438.55035,443.00146,443.8427,50.24296,1.247095,50.605766,0.28745928,0.2385296,0.0024883007
0.0285,47931.277,63964.207,-34274.39,438.55035,443.00146,443.8427,50.275143,1.2500601,50.6426,0.2825612,0.23870447,0.0024702586
0.029,47791.07,63829.324,-34663.16,438.55035,443.00146,443.8427,50.320404,1.2340494,50.685867,0.25378773,0.23894194,0.0023866615
0.0295,47610.137,63674.82,-34987.59,438.55035,443.00146,443.8427,50.34356,1.2116425,50.702084,0.22423618,0.23905788,0.002298753
0.03,47258.63,63379.38,-35484.55,438.55035,443.00146,443.8427,50.362183,1.1670896,50.70369,0.17262873,0.23913254,0.0021338048
0.0305,47010.605,63168.344,-35773.22,438.55035,443.00146,443.8427,50.36164,1.133355,50.688835,0.13892765,0.23910381,0.002014935
0.031,46684.934,62880.027,-36071.555,438.55035,443.00146,443.8427,50.34081,1.0859311,50.644787,0.098542966,0.23894246,0.0018458575
